epoch,accuracy,loss,val_accuracy,val_loss
0,0.34493041038513184,1.4416674375534058,0.3147410452365875,1.3122451305389404
1,0.3270377814769745,1.3509453535079956,0.3187251091003418,1.3135812282562256
2,0.32206758856773376,1.3284502029418945,0.31075698137283325,1.31460702419281
3,0.33101391792297363,1.3201333284378052,0.3147410452365875,1.313476800918579
4,0.35089462995529175,1.3111985921859741,0.350597620010376,1.309378981590271
5,0.3260437250137329,1.322628140449524,0.3187251091003418,1.312577486038208
6,0.3409542739391327,1.3142743110656738,0.306772917509079,1.312854528427124
7,0.3389661908149719,1.311137318611145,0.3147410452365875,1.3132071495056152
8,0.3349900543689728,1.3141672611236572,0.31075698137283325,1.3132659196853638
9,0.3111332058906555,1.3096805810928345,0.32270917296409607,1.3097130060195923
