epoch,accuracy,loss,val_accuracy,val_loss
0,0.4384816884994507,1.3674978017807007,0.30890053510665894,1.311511516571045
1,0.5314136147499084,1.155845284461975,0.2879581153392792,1.320494294166565
2,0.5746073126792908,1.0447665452957153,0.2879581153392792,1.3369672298431396
3,0.6256544589996338,0.9768528938293457,0.2879581153392792,1.3678299188613892
4,0.6321989297866821,0.9354823231697083,0.2931937277317047,1.3863979578018188
5,0.6636125445365906,0.89911949634552,0.2879581153392792,1.4342988729476929
6,0.6714659929275513,0.8378300070762634,0.2879581153392792,1.4762191772460938
7,0.7120419144630432,0.8268214464187622,0.2879581153392792,1.5624393224716187
8,0.6924083828926086,0.8436594009399414,0.2879581153392792,1.563699722290039
9,0.7094240784645081,0.8091277480125427,0.29842931032180786,1.6226656436920166
